 330 36,6
 435 5àsec
1256 7 ELEVEN
6802 7-ELEVEN
26452 7-Eleven
1632 76
 315 85度C
1378 99 Speedmart
1315 A&W
 527 A.T.U
3074 A101
 666 ABC
 545 ABSA
 307 AIB
 398 AIK banka
5619 ALDI
1530 ALDI Nord
1410 ALDI Süd
 568 AMC
 838 ANZ
 305 AOK
3053 AT&T
2055 AXA
 548 Aaron's
 505 Abanca
2679 Ace Hardware
 403 Acqua & Sapone
2442 Action
 347 Adecco
1068 Adidas
 474 Admiral
2604 Advance Auto Parts
 524 Aegean
 335 Age UK
 409 Agentur für Arbeit
 707 Agip
1550 Agip Eni
 334 Aibė
 779 Akbank
 731 Akshaya
 683 Alain Afflelou
 352 Albert
1079 Albert Heijn
 390 Albertsons
 368 Alcampo
2564 Aldi
 502 Aldi Nord
 601 Aldi Süd
 357 Aldo
 373 Ale
2230 Alfamart
1470 Algérie Poste
 352 Alior Bank
 338 Alko
 847 Allego
1813 Allegro One Box
3327 Allianz
1251 Allstate
 305 Alon
 607 Alpha Bank
1982 AlzaBox
 696 Amazon
2196 Amazon Hub
2074 Amazon Locker
 352 America's Best Contacts & Eyeglasses
 429 American Automobile Association
 430 American Eagle Outfitters
 330 American Family Insurance
 853 American Legion
 380 Americas Best Value Inn
1000 Amplifon
1205 Ampol
 889 An Post
8461 Anganwadi
1814 Anytime Fitness
1420 Api-Ip
 365 Apollo Pharmacy
 756 Apollo-Optik
 462 Apotek 1
 782 Apple Store
1530 Applebee's Neighborhood Grill & Bar
 339 Applegreen
3031 Aral
 445 Arbeiter-Samariter-Bund
1378 Arbeiterwohlfahrt
3045 Arby's
1267 Arco
 312 Argenta
 628 Argos
 334 Armand Thiery
 656 Asahi SOFT DRINKS
1685 Asda
 507 Ashley HomeStore
 533 Aspen Dental
 328 Astron Energy
 320 Atacadão
 628 Atlante
 436 Atol
1224 Auchan
1622 Audi
 323 Audika
 495 Auntie Anne's
2562 Australia Post
4130 AutoZone
 349 Autosur
 464 Autovision
2382 Avia
 537 Avin
1333 Avis
 742 Axion
 927 Axis Bank
 481 Axis Communications
 697 B&B Hotels
 324 B&M
 303 B&M Bargains
 328 B&Q
2560 BBVA
 320 BCP
 518 BCR
1045 BDO
 355 BHPetrol
 411 BIDV
 338 BJ's Wholesale Club
 317 BKK jegy- és bérletkiadó automata
1316 BMO
2224 BMW
 825 BNI
 357 BNL
2020 BNP Paribas
 308 BNP Paribas Bank Polska
 323 BNP Paribas Fortis
 321 BONITA
12377 BP
 337 BP Pulse
1491 BP Shop
 478 BPER Banca
 637 BPI
2733 BR
 419 BRD
1108 BRI
 665 BWS
 313 BackWerk
 594 Banamex
 332 Banana Republic
 477 Banca Transilvania
 593 Banco Estado
 758 Banco Nación
 355 Banco Provincia
 957 Banco Sabadell
3710 Banco Santander
2694 Banco do Brasil
 947 Banco24Horas
 500 Bancolombia
1848 Bandera Blanca
 444 Bank Central Asia
 725 Bank Mandiri
 807 Bank Pekao
 359 Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا
4225 Bank of America
 652 Bank of Baroda
 407 Bank of India
 472 Bank of Ireland
 304 Bankinter
 618 Banorte
2096 Banque Populaire
 333 Banrisul
1046 Barclays
 415 Barnardo's
 648 Barnes & Noble
 977 Basic-Fit
1743 Baskin-Robbins
 700 Bata
 906 Bath & Body Works
 393 Batteries Plus Bulbs
 336 Bauhaus
 331 Bay Wheels
 410 Bayerisches Rotes Kreuz
 481 Baymont
 388 Bed Bath & Beyond
 386 Belfius
 346 Bell
 362 Bendigo Bank
 411 Benjamin Moore
1102 Benu
 328 Bernmobil
 491 Bershka
 559 Beryl
1100 Best Buy
1845 Best Western
 741 Best Western Plus
 361 Best-one
 975 Betfred
1779 Bharat Petroleum
 453 BiciMAD
3473 Biedronka
 348 Big 5 Sporting Goods
 886 Big Lots
 543 Bijou Brigitte
 879 Bike Share Toronto
 303 BikeMi
1645 Billa
 764 Biocoop
 653 Bipa
 838 Bixi
 512 Blink
 321 Blue Rhino
 308 Bluebikes
 414 Bob Evans
 818 Bodega Aurrera
 674 Bojangles'
 485 Bonjour
1250 Boost Mobile
2018 Boots
 335 Boots Opticians
 535 Bosch Car Service
 373 Boston Pizza
 574 Box Now
2235 Bradesco
 748 Bravo
 726 Bricomarché
 451 Bridgestone
 557 British Heart Foundation
 333 Budgens
 643 Budget
 369 Buffalo Grill
1087 Buffalo Wild Wings
 342 Bunnings Warehouse
13340 Burger King
 704 Burlington
 330 But
2515 BİM
1304 C&A
2174 CAT Scale
 445 CBA
 671 CCC
1001 CIBC
1655 CIC
 372 CIMB Bank
1418 COOP Jednota
2509 CU
8456 CVS Pharmacy
 368 Cacau Show
 347 Cafe Coffee Day
 726 Caffè Nero
 391 Café Amazon
3330 Caisse d'Épargne
1952 Caixa Econômica Federal
 601 Caixa Geral de Depósitos
3382 Caixabank
 650 Caja Rural
 433 Cajamar
2319 Caltex
 440 Calvin Klein
1019 Calzedonia
 415 Campanile
11336 Canada Post
 803 Canadian Tire
1401 Canara Bank
 430 Cancer Research UK
 345 Candlewood Suites
 587 Canter Parcs De Haan
 795 Capital Bikeshare
 346 Capital One
 379 Captain D's
 781 Card Factory
 794 Carglass
 326 Caribou Coffee
 855 Caritas
1326 Carl's Jr.
 351 Carquest
3201 Carrefour
1036 Carrefour City
 712 Carrefour Contact
2795 Carrefour Express
2366 Carrefour Market
 513 Carter's
2298 Casey's General Store
 372 Cash Converters
 504 Cashzone
 345 Catena
 340 Cato
 420 CeX
 676 Cebuana Lhuillier
 388 Celio
 691 Cenex
 502 Centra
 320 Centrakor
 999 Century 21
3620 ChargePoint
 451 Chargy
4306 Chase
 477 Chaussea
 570 Checkers
 433 Chemist Warehouse
1710 Chevrolet
5680 Chevron
2619 Chick-fil-A
 316 Chico's
1300 Chili's
2958 Chipotle
 365 Chowking
 370 Chuck E. Cheese
 743 Church's Chicken
 375 Cinemark
 415 Cinnabon
9353 Circle K
1009 Circuit électrique
2970 Citgo
1063 Citi Bike
 871 Citibank
 660 Citizens Bank
2206 Citroën
 528 Clarks
 661 Claro
 322 Clever fit
2081 Co-op Food
 702 CoCo壱番屋
 331 Coca-Cola
 407 CocciMarket
 552 Coffee Like
 755 Coinstar
 700 Cold Stone Creamery
 404 Coldwell Banker
 893 Coles
 385 Coles Express
 370 Colruyt
 301 Comex
 757 Comfort Inn
 554 Comfort Inn & Suites
 566 Comfort Suites
 617 Commerzbank
 841 Commonwealth Bank
1254 Conad
 378 Conad City
 355 Condis
1175 Conoco
 496 Consum
 384 Continente Plug&Charge
2570 Coop
 310 Coop (Sweden)
 565 Copec
 494 Coppel
 805 Coral
 557 Correios
 629 Correo Argentino
3038 Correos
2878 Costa
1596 Costco
 472 Costco Gasoline
 807 Costcutter
 521 Couche-Tard
 490 Country Inn & Suites
1206 Courtyard
 841 Covirán
 648 Cracker Barrel
 351 Crai
1366 Cricket Wireless
 305 Crocs
 379 Crumbl Cookies
 625 Cruz Verde
6150 Crédit Agricole
2669 Crédit Mutuel
 480 Crédito Agrícola
 393 CubeSmart
1008 Culver's
 705 Cumberland Farms
 392 Cupet
 370 D1
 548 DCM
 520 DEKRA
 394 DEVK
2830 DHL
 432 DHL BOX 24/7
9151 DHL Packstation
 377 DHL Pop Box
1433 DNS
 816 DPD
1540 DPD Pickup Station
2430 DQ Grill & Chill
 393 DSW
 410 Dacia
 311 Daily YAMAZAKI
1778 Dairy Queen
 542 Dali
 418 Darty
 373 Das Futterhaus
 407 Davivienda
1440 Days Inn
 791 Dbam o Zdrowie
 316 Debeka
1557 Decathlon
2209 Deichmann
 503 Del Taco
 319 Delhaize
1506 Delikatesy Centrum
 523 Denizbank
 727 Denner
1381 Denny's
2556 Dero
 386 Desjardins
2254 Deutsche Bahn
1059 Deutsche Bank
12929 Deutsche Post
1980 Deutsche Telekom
3448 Deutsches Rotes Kreuz
2236 Dia
 467 Diakonie
 662 Dick's Sporting Goods
2487 Dino
 822 Discount Tire
 949 Divvy
3850 Docomo Bike Share
 693 Dog-Station
10101 Dollar General
5227 Dollar Tree
1220 Dollarama
9699 Domino's
 595 DoubleTree
 888 Douglas
1548 Dr. Max
 471 Droga Raia
 417 Drogaria São Paulo
 669 Drogasil
7558 Dunkin'
 610 Dutch Bros. Coffee
 617 E. Leclerc
1221 E.Leclerc
 586 E.Leclerc Drive
3030 EDEKA
 375 EE
1170 EKO
3380 ENEOS
 360 EVgo
 452 EasyPay
 573 Ecco
 414 Ecobank
 772 Econo Lodge
1504 Edeka
 336 Edible Arrangements
1708 Edward Jones
 449 Einstein Bros. Bagels
 406 El Pollo Loco
 434 Elan
 432 Elektra
 808 Empresa Brasileira de Correios e Telégrafos
 439 EnBW
1293 Enel
1362 Enel X
1320 Engen
2935 Eni
 303 Entel
2454 Enterprise
 454 Ergo
1540 Ernsting's family
 763 Eroski
 635 Erste Bank
 427 Espresso House
 325 Esprit
9023 Esso
 496 Esso Express
 442 Etam
 491 Etos
 959 EuroSpin
 467 Eurobank
 547 Euromaster
4842 Euronet
 807 Euronics
1137 Europcar
 364 European Wax Center
 513 Eurospar
 511 Eva
 315 Eviny
 728 Expert
 526 Extended Stay America
 689 Extra
1088 Extra Space Storage
 348 ExtraMile
4453 Exxon
 354 F45 Training
 498 FLO
 587 FNB
 743 Fairfield Inn
 411 Fairfield Inn & Suites
4038 Family Dollar
6576 FamilyMart
 573 Famous Footwear
 685 Farmacia Guadalajara
 607 Farmacias Similares
 461 Farmacias del Ahorro
1053 Farmers Insurance
 345 Farmfoods
1610 FedEx
 953 FedEx Office
 638 Federal Bank
 555 Federated Co-operatives
 437 Feu Vert
1162 Fiat
 745 Fielmann
 768 Fifth Third Bank
 319 Fine Wine & Good Spirits
 820 Firehouse Subs
1084 Firestone
 340 First Citizens Bank
 341 First National Bank
 908 Five Below
1589 Five Guys
2396 Fix Price
5411 Flock Safety
 835 Flowbird
 477 Flying J
 596 Flying Tiger Copenhagen
 947 Food Lion
1002 Foot Locker
4535 Ford
1055 Foxpost
 639 France Travail
 318 Franck Provost
 814 Franprix
 374 Freddy's
1109 Fressnapf
 342 Fuller's
 386 GEERS
 410 GEO
2925 GLS
1438 GNC
2443 GS25
 488 Gall & Gall
1124 Galp
1362 Galp electric
2112 GameStop
 677 Gamm Vert
 629 Gap
 795 Garanti Bankası
2515 Geldmaat
 960 Generali
 335 Geox
 398 Getränke Hoffmann
 547 GiFi
 619 Giant
 311 Goil
 358 Golden Corral
2098 Goodwill
 638 Goodyear
 341 Grand Frais
2160 Great Clips
 995 Greene King
2006 Greggs
 526 Grido
 467 Grocery Outlet
 633 Groszek
1127 Groupama
 479 Guardian
 620 Guess
 367 Guichet Transilien
1479 Gulf
 385 Gémo
 406 Générale d'Optique
2720 H&M
2947 H&R Block
 816 H-E-B
1351 HDFC Bank
9997 HELLO CYCLING
 390 HEM
 704 HEMA
1202 HSBC
 577 HSBC UK
 321 HUK-Coburg
 314 Habitat for Humanity ReStore
 345 Hagebaumarkt
 324 Hair Cuttery
 399 Halfords
 567 Halifax
 633 Halkbank
 756 Hall Tabakwaren
 642 Hallmark
 457 Halyk Bank
1534 Hampton
 969 Hampton Inn & Suites
 922 Harbor Freight Tools
1523 Hardee's
 694 Harley-Davidson
 473 Hectronic
 407 Hermes Paketshop
1395 Hertz
 447 Hesburger
 314 Hibbett Sports
 670 Hilton
 929 Hilton Garden Inn
1920 Hindustan Petroleum
 804 Hobby Lobby
 611 Hofer
 633 Holiday
1094 Holiday Inn
1661 Holiday Inn Express
 880 Holiday Inn Express & Suites
 782 Holland & Barrett
 561 Home Bargains
 640 Home Hardware
 530 Home2 Suites
 597 HomeGoods
 445 Homewood Suites
4019 Honda
 311 Hooters
 460 House
 448 Hugo Boss
 400 Hungry Jack's
 586 Hunkemöller
 639 Huntington Bank
 313 Husky
 368 Hyatt Place
 314 HypoVereinsbank
2294 Hyundai
 631 ICA Nära
 421 ICA Supermarket
1139 ICICI Bank
 363 ICU
1527 IGA
1552 IHOP
 896 IKEA
 428 IMO Car Wash
 456 INA
1145 ING
2469 IP
 561 Ibercaja
 993 Ibis
 521 Ibis Budget
 403 Ibis Styles
 832 Iceland
 408 In-N-Out Burger
1359 InPost
1803 Independent
 401 Indian Bank
3314 Indian Oil
 409 Indian Overseas Bank
 388 Indigo
2087 Indomaret
 395 Ingo
 616 Innogy
3844 Intermarché
 697 Intermarché Super
1994 Intersport
1281 Intesa Sanpaolo
 788 Intimissimi
1231 Ionity
 311 Ipak Yoli banki
3007 Ipiranga
 629 Irving
 323 Isuzu
1675 Itaú Unibanco
 313 JA
 637 JCPenney
 630 JD Sports
1056 JET
2557 JYSK
 591 Jack & Jones
1912 Jack in the Box
 567 Jackson Hewitt
 577 Jamba
 311 Jean Coutu
 330 Jean Louis David
 352 Jeep
 309 Jeff de Bruges
1388 Jersey Mike's Subs
 304 Jewson
1336 Jiffy Lube
2062 Jimmy John's
 415 Jobcentre Plus
 454 Joker
1078 Jollibee
 389 Journeys
 304 Jules
1026 Jumbo
 716 K-Market
 394 KBC
12543 KFC
 502 KIKO Milano
 344 KIND Hörgeräte
 402 KK Super Mart
 347 KTM
 305 Kamps
1630 Kaufland
 486 Kay Jewelers
 879 KeyBank
3431 KiK
1879 Kia
 450 Kiabi
 404 KinderCare
 722 Kiwi
 319 Klier
 335 Kmart
1077 Kohl's
 593 Komerční banka
 668 Konzum
 654 Krispy Kreme
2019 Kroger
1300 Kruidvat
 661 Krys
 515 Kum & Go
 753 Kumon
 440 Kutxabank
 586 Kwik Fit
1415 Kwik Trip
 496 L'Occitane
 532 LA Fitness
4845 LAWSON
 351 LBC
 479 LC Waikiki
 711 LCBO
1638 LCL
 469 LVM
1308 La Banque Postale
 362 La Halle
11781 La Poste
 696 La Quinta Inn & Suites
 315 La Vie Claire
 539 Lacoste
 396 Lada
1174 Ladbrokes
 625 Laforêt
 372 Land Rover
 446 Landbank
 371 Lego
 426 LensCrafters
 486 Leonidas
 587 Leroy Merlin
 386 Les Schwab Tire Center
1014 Levi's
1704 Lewiatan
 695 Lexus
 413 Liberty
 524 Liberty Tax
13051 Lidl
 385 Lids
 481 Liquorland
2938 Little Caesars
3265 Little Free Library
 950 Lloyds Bank
 320 Loft
1499 Londis
 479 Long John Silver's
 517 LongHorn Steakhouse
 693 Loterías y Apuestas del Estado
1955 Love's
1769 Lowe's
1175 Lukoil
 371 Lululemon
 451 Lush
 385 Léon
 529 M Lhuillier
 322 M&S Simply Food
 672 M&T Bank
 318 MAC Cosmetics
 520 MBH Bank
 524 MD
 431 METRO
 777 MEVO
 333 MG
 712 MINISTOP
 722 MMA
 430 MOD Pizza
1623 MOL
 304 MPL
 664 MR.DIY
 303 MVG Rad
 337 Mace
 365 Macro
 502 Macy's
2471 Magyar Posta
 421 Mail Boxes Etc.
 530 Maison de la Presse
 579 Malteser Hilfsdienst
 333 Mang Inasal
 850 Mango
 324 Manpower
 640 Mapfre
3923 Marathon
 466 Marco's Pizza
 593 Marie Blachère
 518 Marionnaud
 701 Marks & Spencer
 518 Marriott
1000 Marshalls
 512 Massage Envy
 342 Mathnasium
 432 Matratzen Concord
